review_id,institution_name,programme_name,country,degree_level,field_name,extracted_value,value_scope,provider,source_url,evidence_text,system_status,system_confidence_or_reason,review_verdict,review_comment,reviewer,reviewed_at,critical_error
QA-0051,Sorbonne Universite,Licence mention informatique,France,Bachelor,programme_focus,licence mention informatique,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Formation label: licence mention informatique [source column Formation (FOR) libellé],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0052,Sorbonne Universite,Licence mention informatique,France,Bachelor,curriculum_overview,standard cycle duration: 3 ans; study modality: temps plein; cours en présentiel; teaching location: Paris,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Standard cycle duration: 3 ans [source column AF durée cycle standard],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.85,,,,,
QA-0053,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention sciences et humanités,France,Bachelor,external_source_status,,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv?target=0062226M-AF.100098,No admitted external field-bearing source was retained for this target.,SOURCE_ABSENCE,target-level source absence; no admitted external field-bearing source was retained,,,,,
QA-0054,Delft University of Technology,Computer Science,Netherlands,Master,programme_identity,Computer Science,programme,DUO RIO,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B605%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O6612%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,RIO programme name: Computer Science [source column NAAM_LANG],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0055,Delft University of Technology,Computer Science,Netherlands,Master,credential,MASTER,programme,DUO RIO,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B605%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O6612%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,RIO award/degree: MASTER [source column GRAAD],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0056,Radboud Universiteit,Business Administration,Netherlands,Master,programme_identity,Business Administration,programme,DUO RIO,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B484%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O6879%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,RIO programme name: Business Administration [source column NAAM_LANG],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0057,Radboud Universiteit,Business Administration,Netherlands,Master,credential,MASTER,programme,DUO RIO,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B484%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O6879%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,RIO award/degree: MASTER [source column GRAAD],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0058,Radboud Universiteit,Business Administration,Netherlands,Master,minimum_degree,MASTER,programme,DUO RIO,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B484%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O6879%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,RIO award/degree: MASTER [source column GRAAD],REVIEW,review; exact external evidence; pipeline confidence=0.60; validation=REQUIREMENT_NOT_EXPLICIT,,,,,
QA-0059,Radboud Universiteit,Business Administration,Netherlands,Master,programme_focus,programme name: Business Administration; award degree: MASTER; qualification level: WO-MA; study load: 60,programme,DUO RIO,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B484%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O6879%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,RIO programme name: Business Administration [source column NAAM_LANG],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0060,Rijksuniversiteit Groningen,Datastore Search,Netherlands,,external_source_status,,programme,DUO RIO,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B448%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O6215%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555&target=duo-nl-stage1-005-1001O6215,No admitted external field-bearing source was retained for this target.,SOURCE_ABSENCE,target-level source absence; no admitted external field-bearing source was retained,,,,,
QA-0061,Universiteit van Amsterdam,Cultuurwetenschappen,Netherlands,Bachelor,programme_identity,Cultuurwetenschappen,programme,DUO RIO,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B473%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O5623%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,RIO programme name: Cultuurwetenschappen [source column NAAM_LANG],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.95,,,,,
QA-0062,Universiteit van Amsterdam,Cultuurwetenschappen,Netherlands,Bachelor,credential,BACHELOR,programme,DUO RIO,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B473%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O5623%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,RIO award/degree: BACHELOR [source column GRAAD],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.95,,,,,
QA-0063,Universiteit van Amsterdam,Cultuurwetenschappen,Netherlands,Bachelor,programme_focus,programme name: Cultuurwetenschappen; degree: BACHELOR; language: ENG; delivery mode: VOLTIJD; study load: 180; qualification level: WO-BA,programme,DUO RIO,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B473%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O5623%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,RIO programme name: Cultuurwetenschappen [source column NAAM_LANG],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
