programme_id,institution_id,institution_name,programme_name,country,degree_level,discipline,total_priority_fields,direct_field_count,hierarchical_added_field_count,effective_field_count,review_field_count,missing_field_count,completion_before_hierarchy_pct,completion_after_hierarchy_pct
705ee35e-ee7c-5f92-9b2f-326464160035,leiden-nl-canary,Universiteit Leiden,Geneeskunde,NL,bachelor,other,38,5,0,5,0,33,13.16,13.16
73db1816-bfbf-5cec-b4ea-619146b93fdb,leiden-nl-canary,Universiteit Leiden,Statistics and Data Science,NL,master,computer science,38,5,0,5,0,33,13.16,13.16
7415a39b-2f5f-5571-bfc7-43976f8d48d7,discover-uk-stage1-007,Askham Bryan College,Equine Science and Management,UK,bachelor,business,38,8,1,9,0,29,21.05,23.68
7523ae19-3e89-5a97-843b-147b847e4c45,duo-nl-stage1-001,Het College van Bestuur van de Vrije Universiteit,Change Management,NL,master,business,38,0,2,2,0,36,0.0,5.26
7670144e-e4f8-58af-be95-830fb3831ee2,uppsala-se-canary,Uppsala University,Floristics and Faunistics L,SE,bachelor,other,38,5,2,7,0,31,13.16,18.42
770878eb-c3e4-583c-aeb7-0113b97486cf,discover-uk-stage1-021,University of Brighton,Pharmacy,UK,bachelor,other,38,11,4,14,0,24,28.95,36.84
770f992a-7c1a-5b5c-82ad-f900668b7f1e,discover-uk-stage1-017,The Bournemouth and Poole College,Digital Animation Design & Production,UK,bachelor,other,38,6,0,6,0,32,15.79,15.79
776f8c66-f129-5d3a-a7f8-7a91c0a7f9bd,tue-nl-canary,Technische Universiteit Eindhoven,Embedded Systems,NL,master,other,38,5,0,5,0,33,13.16,13.16
799e0634-fecf-5059-8a0b-3f628d588a9c,onisep-fr-stage1-007,Institut universitaire de technologie de l'Aisne - Campus de Laon,BUT techniques de commercialisation parcours business international : achat et vente,FR,bachelor,other,38,6,0,6,0,32,15.79,15.79
7af5cdae-1e38-5d6c-a16b-d92503e58923,onisep-fr-stage1-035,École universitaire de recherche en sciences fondamentales et Ingénierie - Campus Valrose,master mention physique fondamentale et applications,FR,master,other,38,6,0,6,0,32,15.79,15.79
