institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count
University Centre Somerset College Group,"Makeup Artistry, Prosthetic FX and Wig Making",UK,bachelor,other,discover-uk-stage1-020,5f95f3f8-7afc-52a6-ba5b-e4f49c98267b,"Makeup Artistry, Prosthetic FX and Wig Making",FDA,2 year course,Taunton College,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,32,13.16,1,0
University Centre Somerset College Group,"Makeup Artistry, Prosthetic FX and Wig Making",UK,bachelor,other,discover-uk-stage1-020,d0d192c5-ff75-5fdf-8c6c-80e0cc2608c6,"Makeup Artistry, Prosthetic FX and Wig Making",FDA,2 year course,Taunton College,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,33,13.16,1,5
University College Birmingham,Aesthetics,UK,bachelor,other,discover-uk-stage1-011,5dcb3d22-21b0-523b-b1aa-27093fb8036a,BA (Hons) Aesthetics,BA (Hons),3 year course,University College Birmingham,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""data_period"": ""students graduating 2022-23"", ""future_fit"": ""80%"", ""meaningfulness"": ""75%"", ""metric"": ""graduate_perceptions_of_work"", ""respondents"": 15, ""response_rate"": ""55%"", ""timeframe"": ""15 months after graduation"", ""usefulness"": ""80%""}","{""audience"": null, ""cohort"": ""BA (Hons) Aesthetics graduates at University College Birmingham"", ""data_period"": ""students graduating 2022-23"", ""metric"": ""go_on_to_work_and_or_study"", ""percentage"": 80, ""respondents"": 20, ""response_rate"": ""55%"", ""timeframe"": ""15 months after the course""}",7,0,7,31,18.42,1,0
University College Birmingham,Airport And Aviation Management,UK,bachelor,business,discover-uk-stage1-011,43850490-0520-5cca-b9a2-0b1b84156049,BA (Hons) Airport And Aviation Management,BA (Hons),4 year course,University College Birmingham,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""data_period"": ""students graduating 2022-23"", ""future_fit"": ""80%"", ""meaningfulness"": ""75%"", ""metric"": ""graduate_perceptions_of_work"", ""respondents"": 15, ""response_rate"": ""55%"", ""timeframe"": ""15 months after graduation"", ""usefulness"": ""80%""}","{""audience"": null, ""cohort"": ""BA (Hons) Aesthetics graduates at University College Birmingham"", ""data_period"": ""students graduating 2022-23"", ""metric"": ""go_on_to_work_and_or_study"", ""percentage"": 80, ""respondents"": 20, ""response_rate"": ""55%"", ""timeframe"": ""15 months after the course""}",5,2,7,31,18.42,2,2
University of Brighton,Business Management with Entrepreneurship,UK,bachelor,business,discover-uk-stage1-021,28ee7709-d09b-5231-8e41-461663619e85,BSc (Hons) Business Management with Entrepreneurship,BSc (Hons),3 year course,Moulsecoomb,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,31,13.16,1,0
University of Brighton,Pharmacy,UK,bachelor,other,discover-uk-stage1-021,770878eb-c3e4-583c-aeb7-0113b97486cf,MPharm (Hons) Pharmacy,MPharm (Hons),5 year course,Moulsecoomb,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""audience"": null, ""metric"": ""go_on_to_work_and_or_study"", ""percentage"": 84, ""period"": ""15 months after the course"", ""population"": ""Pharmacy graduates at University of Brighton""}",6,0,6,31,15.79,1,0
University of Bristol,Computer Science,UK,bachelor,computer science,bristol-uk-canary,df53e148-1899-5eb0-b91b-2abd84256559,BSc (Hons) Computer Science,BSc (Hons),3 year course,University of Bristol,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,31,13.16,1,0
University of Bristol,Data Science,UK,bachelor,data science,bristol-uk-canary,45389133-b30b-5620-a1f1-132881ea6575,BSc (Hons) Computer Science,BSc (Hons),4 year course,University of Bristol,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""highly_skilled_work_percentage"": 80, ""information_technology_professionals_percentage"": 80, ""outcome_type"": ""occupation_distribution"", ""period"": ""15 months after the course""}","{""audience"": null, ""metric"": ""occupation"", ""occupation"": ""Elementary occupations"", ""percentage"": 10, ""period"": ""15 months after the course"", ""population"": ""students graduating 2022-23""}",3,4,7,31,18.42,2,4
University of Cambridge,Computer Science,UK,bachelor,computer science,cambridge-uk-canary,4ec2cb38-ac8f-597c-857d-18eabf99649b,Computer Science,BA (Hons),3 year course,University of Cambridge,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,31,13.16,1,0
University of Cambridge,Natural Sciences,UK,bachelor,computer science,cambridge-uk-canary,363052cb-99e3-5cb4-bfc4-512e4dc078a2,Natural Sciences,BA (Hons),3 year course,University of Cambridge,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""cohort"": ""Computer science graduates at University of Cambridge"", ""currency"": ""GBP"", ""data_source"": ""Graduate Outcomes survey"", ""median_earnings"": 55000, ""period"": ""15 months after the course"", ""typical_range"": ""£40,000 - £80,000""}",,5,1,6,32,15.79,2,1
University of Eastern Finland,Data Engineering,FI,bachelor,computer science,uef-fi-canary,67ef7389-04ec-5e55-94cc-49456ef74cb3,,,,,,,,,,,,,,,"{""academic_cycle"": null, ""amount"": null, ""audience"": null, ""automatic_consideration"": null, ""award_name"": null, ""currency"": null, ""details"": ""Applicants subject to tuition fees can apply for tuition waivers and scholarships during the university application process by completing the relevant section on the application form."", ""eligibility"": ""Applicants subject to tuition fees"", ""funding_type"": ""unknown"", ""repayable"": null, ""separate_application_required"": null}",,,,,,6.0,,"{""audience"": null, ""minimum_overall_score"": 78, ""test"": ""TOEFL iBT""}",,"{""audience"": null, ""details"": ""SAT scores listed as required application document; SAT-based admission available for refugees"", ""requirement_status"": ""required"", ""test"": ""SAT""}","{""application_route"": ""Joint Application to Higher Education, Spring 2026"", ""start_term"": null}",2026-01-21,,,,,,,,,SAT scores,,,,,,,7,0,7,29,18.42,3,0
University of Eastern Finland,Information Technology,FI,bachelor,computer science,uef-fi-canary,c4ca6963-813a-5121-a844-b24e4ffc1097,,,,,,,,,,,,,,,"{""academic_cycle"": ""2026-2027"", ""amount"": null, ""audience"": null, ""automatic_consideration"": null, ""award_name"": null, ""currency"": null, ""details"": ""Applicants subject to tuition fees can apply for tuition waivers and scholarships during the university application process by completing the relevant section on the application form."", ""eligibility"": ""Applicants subject to tuition fees"", ""funding_type"": ""unknown"", ""repayable"": null, ""separate_application_required"": null}",,,,,,6.0,,"{""audience"": null, ""minimum_overall_score"": 78, ""test"": ""TOEFL iBT""}",,,"{""academic_cycle"": ""2026"", ""application_route"": ""Joint Application to Higher Education, Spring 2026""}",2026-01-21,,,,,,,,,Certificates,,,,,,,6,0,6,30,15.79,3,0
