institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count
Institut national supérieur du professorat et de l'éducation - site de Charleville-Mézières,licence mention professorat des écoles,FR,bachelor,other,onisep-fr-stage1-038,36d5084e-2c73-5fb5-b94e-abfed22c61eb,licence mention professorat des écoles,licence,3 ans,Charleville-Mézières,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Institut national supérieur du professorat et de l'éducation - site de Charleville-Mézières,master mention enseignement et éducation - professorat des écoles,FR,master,other,onisep-fr-stage1-038,b40d6dfd-98cd-50c3-94e3-cdc6c928c532,master mention enseignement et éducation - professorat des écoles,master,2 ans,Charleville-Mézières,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Institut national supérieur du professorat et de l'éducation - site de Digne-les-Bains,licence mention professorat des écoles,FR,bachelor,other,onisep-fr-stage1-014,d6cc8d77-c34f-5b12-a8d0-ab09479fe460,licence mention professorat des écoles,licence,3 ans,Digne-les-Bains,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Institut national supérieur du professorat et de l'éducation - site de Digne-les-Bains,master mention enseignement et éducation - professorat des écoles,FR,master,other,onisep-fr-stage1-014,b24a96cd-0e71-58de-91fe-fd509593425f,master mention enseignement et éducation - professorat des écoles,master,2 ans,Digne-les-Bains,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Institut national supérieur du professorat et de l'éducation - site de l'Ain,licence mention professorat des écoles,FR,bachelor,other,onisep-fr-stage1-001,26771848-8ad9-59b3-9f88-86811be85572,licence mention professorat des écoles,licence,3 ans,Bourg-en-Bresse,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Institut national supérieur du professorat et de l'éducation - site de l'Ain,master mention enseignement et éducation - professorat des écoles,FR,master,other,onisep-fr-stage1-001,f851cbdf-cdd3-513d-9f6f-3a5ed1dda854,master mention enseignement et éducation - professorat des écoles,master,2 ans,Bourg-en-Bresse,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Institut national supérieur du professorat et de l'éducation Clermont-Auvergne - site de Moulins,licence mention professorat des écoles,FR,bachelor,other,onisep-fr-stage1-009,394c7037-53ca-5124-b1cb-c347f2f3c5a9,licence mention professorat des écoles,licence,3 ans,Moulins,"temps plein, cours en présentiel ou cours partiellement en distanciel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Institut national supérieur du professorat et de l'éducation Clermont-Auvergne - site de Moulins,master mention enseignement et éducation - professorat des écoles,FR,master,other,onisep-fr-stage1-009,20fb556f-e752-5d5d-b1fb-b7aa65c58ea4,master mention enseignement et éducation - professorat des écoles,master,2 ans,Moulins,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
"Institut national supérieur du professorat et de l'éducation Célestin Freinet - site de Nice, George V",master mention enseignement et éducation - professorat du second degré,FR,master,other,onisep-fr-stage1-026,4da6f840-9e62-5e39-a2b7-ebc0aea392ef,master mention enseignement et éducation - professorat du second degré,master,2 ans,Nice,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
"Institut national supérieur du professorat et de l'éducation Célestin Freinet - site de Nice, George V","master mention métiers de l'enseignement, de l'éducation et de la formation - pratiques et ingénierie de la formation",FR,master,other,onisep-fr-stage1-026,49ca4019-1bf2-5b5c-983d-1c96b71efea6,"master mention métiers de l'enseignement, de l'éducation et de la formation - pratiques et ingénierie de la formation",master,2 ans,Nice,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
