programme_id,programme_name,institution_id,field_name,value_json,resolution_level,scope,donor_entity,donor_name,source_url,source_hash,raw_document_id,provider,source_authority,source_relationship,uncertainty,provenance,original_status,is_new
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,intakes,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,final_deadline,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,priority_deadline,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,MISSING,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,international_deadline,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,MISSING,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,rolling_admission,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,application_url,https://iut.univ-cotedazur.fr/departements-et-formations/reseaux-et-telecommunications/bachelor-universitaire-de-technologie,H0,programme,b2e631c1-b970-54ea-be38-4a8e3378752a,target programme,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,,stage1-coverage-20260916-raw-bf0ff9a929fecfe1974dcc64,onisep_higher_ed,,,0,Existing strict or hierarchy replay value.,DIRECT_ACCEPTED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,minimum_degree,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,minimum_gpa,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,MISSING,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,gpa_scale,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,MISSING,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,subject_prerequisites,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,required_documents,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,recommendation_letters,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,sop_or_essay,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,EXISTING,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,portfolio,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,work_experience,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,career_outcomes,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,employment_outcomes,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b71975da-c74a-5d2d-8e60-1ffed647fcee,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,onisep-fr-stage1-015,programme_identity,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,H0,programme,b71975da-c74a-5d2d-8e60-1ffed647fcee,target programme,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,,d2dd0470-da45-4259-b443-66cabcbe359e,onisep_higher_ed,,,0,Existing strict or hierarchy replay value.,DIRECT_ACCEPTED,0
